day	key	parameter	level	prior	revenue	impressions	learning_rate	posterior	rev_imps	max_rev_imps	rev_imps_perc	site
2018-09-12	dd_bo_p4	intercepts	0.2000	5.0000	1680884	1231.0000	1.0699	4.7739	1365.4622	1414.4534	0.9654	Home Stories A to Z
2018-09-12	dd_bo_p4	intercepts	0.2500	12.0000	2033908	1445.0000	1.0699	13.2870	1407.5488	1414.4534	0.9951	Home Stories A to Z
2018-09-12	dd_bo_p4	intercepts	0.3000	60.0000	4461963	3242.0000	1.0699	58.4574	1376.2995	1414.4534	0.9730	Home Stories A to Z
2018-09-12	dd_bo_p4	intercepts	0.3500	12.0000	2794960	1976.0000	1.0699	13.6695	1414.4534	1414.4534	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p4	intercepts	0.4000	5.0000	2747362	2054.0000	1.0699	4.3180	1337.5667	1414.4534	0.9456	Home Stories A to Z
2018-09-12	dd_bo_p4	intercepts	0.4500	3.0000	3382922	2467.0000	1.0699	2.9376	1371.2696	1414.4534	0.9695	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.2000	3.0000	0	0	1.0699	2.6593	0	1440.1194	0	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.2500	5.0000	3621790	2773.0000	1.0699	3.5878	1306.0909	1440.1194	0.9069	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.3000	12.0000	4043496	3023.0000	1.0699	9.4978	1337.5772	1440.1194	0.9288	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.3500	60.0000	3714068	2579.0000	1.0699	64.8176	1440.1194	1440.1194	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.4000	12.0000	3470865	2469.0000	1.0699	11.8782	1405.7776	1440.1194	0.9762	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.4500	5.0000	2509059	1840.0000	1.0699	4.3156	1363.6190	1440.1194	0.9469	Home Stories A to Z
2018-09-12	dd_bo_p4	slopes	1.5000	3.0000	1487456	1039.0000	1.0699	3.2438	1431.6227	1440.1194	0.9941	Home Stories A to Z
2018-09-12	dd_bo_p5	fallbacks	0.1500	3.0000	8199538831	9551447.0000	4.5738	2.2010	858.4604	899.6798	0.9542	Home Stories A to Z
2018-09-12	dd_bo_p5	fallbacks	0.2000	5.0000	4981034741	5889230.0000	4.5738	3.1972	845.7871	899.6798	0.9401	Home Stories A to Z
2018-09-12	dd_bo_p5	fallbacks	0.2500	12.0000	5797489610	6790646.0000	4.5738	8.3711	853.7464	899.6798	0.9489	Home Stories A to Z
2018-09-12	dd_bo_p5	fallbacks	0.3000	60.0000	223159794911	248043570.0000	4.5738	66.0446	899.6798	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p5	fallbacks	0.3500	12.0000	52517212220	58374640.0000	4.5738	13.2063	899.6580	899.6798	1.0000	Home Stories A to Z
2018-09-12	dd_bo_p5	fallbacks	0.4000	5.0000	19190182197	21664036.0000	4.5738	4.8342	885.8083	899.6798	0.9846	Home Stories A to Z
